date_time,temperature,wind_speed,rain,precipitation
2013-06-01 00:00:00,22.0,13.7,3.5,3.5
2013-06-01 01:00:00,21.8,16.5,1.0,1.0
2013-06-01 02:00:00,21.7,17.2,0.2,0.2
2013-06-01 03:00:00,21.4,20.1,0.4,0.4
2013-06-01 04:00:00,21.6,23.3,0.0,0.0
2013-06-01 05:00:00,21.4,25.6,0.0,0.0
2013-06-01 06:00:00,21.0,28.8,0.0,0.0
2013-06-01 07:00:00,20.7,30.1,1.2,1.2
2013-06-01 08:00:00,20.4,23.9,0.3,0.3
2013-06-01 09:00:00,20.3,26.0,0.0,0.0
2013-06-01 10:00:00,20.0,19.3,0.2,0.2
2013-06-01 11:00:00,20.1,17.2,0.3,0.3
2013-06-01 12:00:00,20.5,19.0,0.3,0.3
2013-06-01 13:00:00,20.7,21.3,0.4,0.4
2013-06-01 14:00:00,20.9,22.8,0.2,0.2
2013-06-01 15:00:00,21.9,27.5,0.1,0.1
2013-06-01 16:00:00,23.0,29.2,0.0,0.0
2013-06-01 17:00:00,24.0,27.4,0.0,0.0
2013-06-01 18:00:00,24.9,24.2,0.0,0.0
2013-06-01 19:00:00,23.1,24.1,0.0,0.0
2013-06-01 20:00:00,23.2,22.3,0.0,0.0
2013-06-01 21:00:00,22.4,20.0,0.0,0.0
2013-06-01 22:00:00,22.1,21.1,0.3,0.3
2013-06-01 23:00:00,21.3,22.3,0.8,0.8
